Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
40 - 49;Male;United States;1 - 9 (micro);Financial Services;9;8;1000;1;2;3;1;1;In-person only;1;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Low probability from my perspective. Several companies were still at ideation stage, which is too early for our fund mandate.;I am unlikely to return unless the organisers address the poor time management and improve the quality of the briefing materials.
30 - 39;Female;Switzerland;50 - 249 (medium);Consumer Goods;15;6;550;1;3;3;4;2;Hybrid (in-person + virtual);1;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
30 - 39;Female;Other non-EU;250 - 999 (large);Energy / Cleantech;38;2;600;0;3;2;1;2;No preference;1;The venue was uncomfortable and overcrowded, which negatively affected the overall experience from the start.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;Better pre-event communication and a clearer agenda would help. I felt underprepared for several of the sessions.
40 - 49;Male;Netherlands;1,000+ (enterprise);Financial Services;20;3;450;2;2;1;2;2;No preference;1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
50 - 59;Female;Other EU;50 - 249 (medium);Technology / Software;2;4;300;4;5;4;5;5;No preference;3;Very positive atmosphere. There was a genuine sense of mutual interest among attendees, which is rare at events of this scale.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
30 - 39;Female;United States;10 - 49 (small);Consumer Goods;12;8;1400;1;3;4;3;3;Hybrid (in-person + virtual);0;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
40 - 49;Male;Other non-EU;50 - 249 (medium);Consumer Goods;16;3;850;2;5;4;4;4;In-person only;0;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Probability looks solid. One deal stood out as near investment-ready and I am already discussing it with my partners.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
40 - 49;Male;United Kingdom;250 - 999 (large);Financial Services;0;8;400;1;2;1;3;1;Hybrid (in-person + virtual);1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
50 - 59;Male;Germany;1,000+ (enterprise);Technology / Software;18;4;1350;5;5;5;5;4;No preference;4;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
50 - 59;Male;Other EU;1,000+ (enterprise);Consumer Goods;11;3;1000;1;2;3;3;4;No preference;2;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
